                                                             THRESHOLD=48 MAX_P=12
Heartbeat CPU  0 instructions:  147000002 cycles:  215032716 heartbeat IPC: 0.41342 cumulative IPC: 0.67755 (Simulation time: 0 hr 31 min 10 sec) 
Finished CPU 0 instructions: 145000000 cycles: 214006103 cumulative IPC: 0.67755 (Simulation time: 0 hr 31 min 10 sec) 

ChampSim completed all CPUs

[ROI Statistics]
Core_0_instructions 145000000
Core_0_cycles 214006103
Core_0_IPC 0.67755

Core_0_branch_prediction_accuracy 97.08128
Core_0_branch_MPKI 0.65110
Core_0_average_ROB_occupancy_at_mispredict 211.68428

Core_0_L1D_total_access 32704838
Core_0_L1D_total_hit 25852193
Core_0_L1D_total_miss 6852645
Core_0_L1D_loads 30572397
Core_0_L1D_load_hit 24376412
Core_0_L1D_load_miss 6195985
Core_0_L1D_RFOs 2132441
Core_0_L1D_RFO_hit 1475781
Core_0_L1D_RFO_miss 656660
Core_0_L1D_prefetches 0
Core_0_L1D_prefetch_hit 0
Core_0_L1D_prefetch_miss 0
Core_0_L1D_writebacks 0
Core_0_L1D_writeback_hit 0
Core_0_L1D_writeback_miss 0
Core_0_L1D_prefetch_requested 0
Core_0_L1D_prefetch_issued 0
Core_0_L1D_prefetch_useful 0
Core_0_L1D_prefetch_useless 0
Core_0_L1D_prefetch_late 0
Core_0_L1D_average_miss_latency 87.13411

Core_0_L1I_total_access 43215470
Core_0_L1I_total_hit 43211994
Core_0_L1I_total_miss 3476
Core_0_L1I_loads 43215470
Core_0_L1I_load_hit 43211994
Core_0_L1I_load_miss 3476
Core_0_L1I_RFOs 0
Core_0_L1I_RFO_hit 0
Core_0_L1I_RFO_miss 0
Core_0_L1I_prefetches 0
Core_0_L1I_prefetch_hit 0
Core_0_L1I_prefetch_miss 0
Core_0_L1I_writebacks 0
Core_0_L1I_writeback_hit 0
Core_0_L1I_writeback_miss 0
Core_0_L1I_prefetch_requested 0
Core_0_L1I_prefetch_issued 0
Core_0_L1I_prefetch_useful 0
Core_0_L1I_prefetch_useless 0
Core_0_L1I_prefetch_late 0
Core_0_L1I_average_miss_latency 181.32681

Core_0_L2C_total_access 14576336
Core_0_L2C_total_hit 11961438
Core_0_L2C_total_miss 2614898
Core_0_L2C_loads 6199448
Core_0_L2C_load_hit 4661276
Core_0_L2C_load_miss 1538172
Core_0_L2C_RFOs 656657
Core_0_L2C_RFO_hit 479767
Core_0_L2C_RFO_miss 176890
Core_0_L2C_prefetches 6559762
Core_0_L2C_prefetch_hit 5659951
Core_0_L2C_prefetch_miss 899811
Core_0_L2C_writebacks 1160469
Core_0_L2C_writeback_hit 1160444
Core_0_L2C_writeback_miss 25
Core_0_L2C_prefetch_requested 13946181
Core_0_L2C_prefetch_issued 8100051
Core_0_L2C_prefetch_useful 361991
Core_0_L2C_prefetch_useless 540066
Core_0_L2C_prefetch_late 86011
Core_0_L2C_average_miss_latency 282.02415

Core_0_LLC_total_access 3725503
Core_0_LLC_total_hit 1720824
Core_0_LLC_total_miss 2004679
Core_0_LLC_loads 1454025
Core_0_LLC_load_hit 466725
Core_0_LLC_load_miss 987300
Core_0_LLC_RFOs 175035
Core_0_LLC_RFO_hit 2855
Core_0_LLC_RFO_miss 172180
Core_0_LLC_prefetches 985813
Core_0_LLC_prefetch_hit 140636
Core_0_LLC_prefetch_miss 845177
Core_0_LLC_writebacks 1110630
Core_0_LLC_writeback_hit 1110608
Core_0_LLC_writeback_miss 22
Core_0_LLC_prefetch_requested 0
Core_0_LLC_prefetch_issued 0
Core_0_LLC_prefetch_useful 29678
Core_0_LLC_prefetch_useless 801059
Core_0_LLC_prefetch_late 0
Core_0_LLC_average_miss_latency 333.26534

Core_0_major_page_fault 0
Core_0_minor_page_fault 10381

CPU 0 L2C next line prefetcher final stats
Channel_0_RQ_row_buffer_hit 692966
Channel_0_RQ_row_buffer_miss 1311672
Channel_0_WQ_row_buffer_hit 233155
Channel_0_WQ_row_buffer_miss 864861
Channel_0_WQ_full 0
Channel_0_dbus_congested 1551343

avg_congested_cycle 10
THRESHOLD=256
MAX_P=12
Building single-core ChampSim...

rm -f -r obj
Generating dependencies for src/ooo_cpu.cc...
Compiling src/ooo_cpu.cc...
Generating dependencies for src/main.cc...
Compiling src/main.cc...
Generating dependencies for src/uncore.cc...
Compiling src/uncore.cc...
Generating dependencies for src/cache.cc...
Compiling src/cache.cc...
Generating dependencies for src/dram_controller.cc...
Compiling src/dram_controller.cc...
Generating dependencies for src/block.cc...
Compiling src/block.cc...
Generating dependencies for branch/branch_predictor.cc...
Compiling branch/branch_predictor.cc...
Generating dependencies for replacement/base_replacement.cc...
Compiling replacement/base_replacement.cc...
Generating dependencies for replacement/llc_replacement.cc...
Compiling replacement/llc_replacement.cc...
Generating dependencies for prefetcher/l2c_prefetcher.cc...
Compiling prefetcher/l2c_prefetcher.cc...
Generating dependencies for prefetcher/llc_prefetcher.cc...
Compiling prefetcher/llc_prefetcher.cc...
Generating dependencies for prefetcher/l1d_prefetcher.cc...
Compiling prefetcher/l1d_prefetcher.cc...
Linking bin/champsim...

[1mChampSim is successfully built
Branch Predictor: perceptron
L1D Prefetcher: no
L2C Prefetcher: deltaMarkov_NxtLine_NxtNxtLine
LLC Prefetcher: no
LLC Replacement: lru
Cores: 1
Binary: bin/perceptron-no-deltaMarkov_NxtLine_NxtNxtLine-no-lru-1core

*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Jul 31 2024 07:59:09
*************************************************

trace_0 ./LLM_Traces/2B_Traces_SelfAttention_Phythia-70M-Seq1024-07-08-0125.champsim.xz
CPU 0 L2C next line prefetcher initialized
warmup_instructions 2000000
simulation_instructions 145000000
champsim_seed 200

num_cpus 1
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 1
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 4096
dram_pages 1048576

fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 8
l1d_mshr_size 16
l1d_latency 4

l2c_size 512
l2c_set 1024
l2c_way 8
l2c_rq_size 32
l2c_wq_size 32
l2c_pq_size 16
l2c_mshr_size 32
l2c_latency 10

llc_size 2048
llc_set 2048
llc_way 16
llc_rq_size 32
llc_wq_size 32
llc_pq_size 32
llc_mshr_size 64
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13


Heartbeat CPU  0 instructions:    1000001 cycles:     455268 heartbeat IPC: 2.19651 cumulative IPC: 2.19651 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    2000000 cycles:    1026550 heartbeat IPC: 1.75045 cumulative IPC: 1.94827 (Simulation time: 0 hr 0 min 17 sec) 

Warmup complete CPU  0 instructions:    2000002 cycles:    1026551 (Simulation time: 0 hr 0 min 17 sec) 

Heartbeat CPU  0 instructions:    3000001 cycles:    2209357 heartbeat IPC: 0.84545 cumulative IPC: 0.84545 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    3457932 heartbeat IPC: 0.80091 cumulative IPC: 0.82258 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  0 instructions:    5000002 cycles:    4700943 heartbeat IPC: 0.80450 cumulative IPC: 0.81646 (Simulation time: 0 hr 0 min 51 sec) 
Heartbeat CPU  0 instructions:    6000003 cycles:    5954942 heartbeat IPC: 0.79745 cumulative IPC: 0.81162 (Simulation time: 0 hr 1 min 2 sec) 
Heartbeat CPU  0 instructions:    7000000 cycles:    7209939 heartbeat IPC: 0.79681 cumulative IPC: 0.80862 (Simulation time: 0 hr 1 min 12 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    8466406 heartbeat IPC: 0.79588 cumulative IPC: 0.80647 (Simulation time: 0 hr 1 min 23 sec) 
Heartbeat CPU  0 instructions:    9000003 cycles:    9716865 heartbeat IPC: 0.79971 cumulative IPC: 0.80549 (Simulation time: 0 hr 1 min 34 sec) 
Heartbeat CPU  0 instructions:   10000003 cycles:   10961416 heartbeat IPC: 0.80350 cumulative IPC: 0.80525 (Simulation time: 0 hr 1 min 45 sec) 
Heartbeat CPU  0 instructions:   11000000 cycles:   12191717 heartbeat IPC: 0.81281 cumulative IPC: 0.80608 (Simulation time: 0 hr 1 min 56 sec) 
Heartbeat CPU  0 instructions:   12000000 cycles:   13452744 heartbeat IPC: 0.79300 cumulative IPC: 0.80475 (Simulation time: 0 hr 2 min 8 sec) 
Heartbeat CPU  0 instructions:   13000002 cycles:   14712478 heartbeat IPC: 0.79382 cumulative IPC: 0.80375 (Simulation time: 0 hr 2 min 20 sec) 
Heartbeat CPU  0 instructions:   14000002 cycles:   15952371 heartbeat IPC: 0.80652 cumulative IPC: 0.80398 (Simulation time: 0 hr 2 min 31 sec) 
Heartbeat CPU  0 instructions:   15000003 cycles:   17206800 heartbeat IPC: 0.79718 cumulative IPC: 0.80345 (Simulation time: 0 hr 2 min 43 sec) 
Heartbeat CPU  0 instructions:   16000000 cycles:   18472251 heartbeat IPC: 0.79023 cumulative IPC: 0.80249 (Simulation time: 0 hr 2 min 54 sec) 
Heartbeat CPU  0 instructions:   17000002 cycles:   19723462 heartbeat IPC: 0.79923 cumulative IPC: 0.80227 (Simulation time: 0 hr 3 min 6 sec) 
Heartbeat CPU  0 instructions:   18000003 cycles:   20997717 heartbeat IPC: 0.78477 cumulative IPC: 0.80116 (Simulation time: 0 hr 3 min 19 sec) 
Heartbeat CPU  0 instructions:   19000001 cycles:   22255651 heartbeat IPC: 0.79495 cumulative IPC: 0.80079 (Simulation time: 0 hr 3 min 31 sec) 
Heartbeat CPU  0 instructions:   20000000 cycles:   23520798 heartbeat IPC: 0.79042 cumulative IPC: 0.80020 (Simulation time: 0 hr 3 min 43 sec) 
Heartbeat CPU  0 instructions:   21000001 cycles:   24766919 heartbeat IPC: 0.80249 cumulative IPC: 0.80032 (Simulation time: 0 hr 3 min 55 sec) 
Heartbeat CPU  0 instructions:   22000003 cycles:   26042685 heartbeat IPC: 0.78384 cumulative IPC: 0.79948 (Simulation time: 0 hr 4 min 7 sec) 
Heartbeat CPU  0 instructions:   23000002 cycles:   27297181 heartbeat IPC: 0.79713 cumulative IPC: 0.79937 (Simulation time: 0 hr 4 min 20 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   28545959 heartbeat IPC: 0.80078 cumulative IPC: 0.79944 (Simulation time: 0 hr 4 min 32 sec) 
Heartbeat CPU  0 instructions:   25000003 cycles:   29664874 heartbeat IPC: 0.89373 cumulative IPC: 0.80312 (Simulation time: 0 hr 4 min 42 sec) 
Heartbeat CPU  0 instructions:   26000003 cycles:   30951501 heartbeat IPC: 0.77723 cumulative IPC: 0.80201 (Simulation time: 0 hr 4 min 56 sec) 
Heartbeat CPU  0 instructions:   27000003 cycles:   32173917 heartbeat IPC: 0.81805 cumulative IPC: 0.80264 (Simulation time: 0 hr 5 min 11 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   33416005 heartbeat IPC: 0.80509 cumulative IPC: 0.80273 (Simulation time: 0 hr 5 min 25 sec) 
Heartbeat CPU  0 instructions:   29000000 cycles:   34678806 heartbeat IPC: 0.79189 cumulative IPC: 0.80232 (Simulation time: 0 hr 5 min 38 sec) 
Heartbeat CPU  0 instructions:   30000001 cycles:   35957347 heartbeat IPC: 0.78214 cumulative IPC: 0.80158 (Simulation time: 0 hr 5 min 52 sec) 
Heartbeat CPU  0 instructions:   31000002 cycles:   37227060 heartbeat IPC: 0.78758 cumulative IPC: 0.80109 (Simulation time: 0 hr 6 min 5 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   38478543 heartbeat IPC: 0.79905 cumulative IPC: 0.80103 (Simulation time: 0 hr 6 min 18 sec) 
Heartbeat CPU  0 instructions:   33000001 cycles:   39739308 heartbeat IPC: 0.79317 cumulative IPC: 0.80077 (Simulation time: 0 hr 6 min 30 sec) 
Heartbeat CPU  0 instructions:   34000002 cycles:   41009579 heartbeat IPC: 0.78723 cumulative IPC: 0.80034 (Simulation time: 0 hr 6 min 45 sec) 
Heartbeat CPU  0 instructions:   35000002 cycles:   42287624 heartbeat IPC: 0.78245 cumulative IPC: 0.79979 (Simulation time: 0 hr 6 min 58 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   43538019 heartbeat IPC: 0.79975 cumulative IPC: 0.79978 (Simulation time: 0 hr 7 min 11 sec) 
Heartbeat CPU  0 instructions:   37000000 cycles:   44774561 heartbeat IPC: 0.80871 cumulative IPC: 0.80004 (Simulation time: 0 hr 7 min 24 sec) 
Heartbeat CPU  0 instructions:   38000003 cycles:   46038039 heartbeat IPC: 0.79147 cumulative IPC: 0.79980 (Simulation time: 0 hr 7 min 37 sec) 
Heartbeat CPU  0 instructions:   39000003 cycles:   47285502 heartbeat IPC: 0.80163 cumulative IPC: 0.79985 (Simulation time: 0 hr 7 min 49 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   48549929 heartbeat IPC: 0.79087 cumulative IPC: 0.79961 (Simulation time: 0 hr 8 min 2 sec) 
Heartbeat CPU  0 instructions:   41000002 cycles:   49844367 heartbeat IPC: 0.77254 cumulative IPC: 0.79889 (Simulation time: 0 hr 8 min 15 sec) 
Heartbeat CPU  0 instructions:   42000001 cycles:   51098858 heartbeat IPC: 0.79714 cumulative IPC: 0.79884 (Simulation time: 0 hr 8 min 27 sec) 
Heartbeat CPU  0 instructions:   43000001 cycles:   52368953 heartbeat IPC: 0.78734 cumulative IPC: 0.79856 (Simulation time: 0 hr 8 min 41 sec) 
Heartbeat CPU  0 instructions:   44000000 cycles:   53649882 heartbeat IPC: 0.78068 cumulative IPC: 0.79813 (Simulation time: 0 hr 8 min 55 sec) 
Heartbeat CPU  0 instructions:   45000002 cycles:   54900413 heartbeat IPC: 0.79966 cumulative IPC: 0.79816 (Simulation time: 0 hr 9 min 13 sec) 
Heartbeat CPU  0 instructions:   46000003 cycles:   56172187 heartbeat IPC: 0.78630 cumulative IPC: 0.79789 (Simulation time: 0 hr 9 min 27 sec) 
Heartbeat CPU  0 instructions:   47000001 cycles:   57444174 heartbeat IPC: 0.78617 cumulative IPC: 0.79762 (Simulation time: 0 hr 9 min 43 sec) 
Heartbeat CPU  0 instructions:   48000000 cycles:   58704292 heartbeat IPC: 0.79358 cumulative IPC: 0.79753 (Simulation time: 0 hr 9 min 57 sec) 
Heartbeat CPU  0 instructions:   49000000 cycles:   59901998 heartbeat IPC: 0.83493 cumulative IPC: 0.79830 (Simulation time: 0 hr 10 min 9 sec) 
Heartbeat CPU  0 instructions:   50000000 cycles:   61026495 heartbeat IPC: 0.88929 cumulative IPC: 0.80000 (Simulation time: 0 hr 10 min 25 sec) 
Heartbeat CPU  0 instructions:   51000000 cycles:   62082770 heartbeat IPC: 0.94672 cumulative IPC: 0.80254 (Simulation time: 0 hr 10 min 41 sec) 
Heartbeat CPU  0 instructions:   52000000 cycles:   63134188 heartbeat IPC: 0.95110 cumulative IPC: 0.80505 (Simulation time: 0 hr 10 min 55 sec) 
Heartbeat CPU  0 instructions:   53000002 cycles:   64192217 heartbeat IPC: 0.94516 cumulative IPC: 0.80740 (Simulation time: 0 hr 11 min 9 sec) 
Heartbeat CPU  0 instructions:   54000003 cycles:   65243887 heartbeat IPC: 0.95087 cumulative IPC: 0.80975 (Simulation time: 0 hr 11 min 23 sec) 
Heartbeat CPU  0 instructions:   55000001 cycles:   66304101 heartbeat IPC: 0.94320 cumulative IPC: 0.81192 (Simulation time: 0 hr 11 min 39 sec) 
Heartbeat CPU  0 instructions:   56000000 cycles:   67355531 heartbeat IPC: 0.95108 cumulative IPC: 0.81412 (Simulation time: 0 hr 11 min 52 sec) 
Heartbeat CPU  0 instructions:   57000000 cycles:   68421044 heartbeat IPC: 0.93852 cumulative IPC: 0.81609 (Simulation time: 0 hr 12 min 5 sec) 
Heartbeat CPU  0 instructions:   58000001 cycles:   69470545 heartbeat IPC: 0.95283 cumulative IPC: 0.81819 (Simulation time: 0 hr 12 min 19 sec) 
Heartbeat CPU  0 instructions:   59000001 cycles:   70514718 heartbeat IPC: 0.95770 cumulative IPC: 0.82028 (Simulation time: 0 hr 12 min 33 sec) 
Heartbeat CPU  0 instructions:   60000000 cycles:   71556262 heartbeat IPC: 0.96011 cumulative IPC: 0.82235 (Simulation time: 0 hr 12 min 47 sec) 
Heartbeat CPU  0 instructions:   61000001 cycles:   72603237 heartbeat IPC: 0.95513 cumulative IPC: 0.82429 (Simulation time: 0 hr 13 min 1 sec) 
Heartbeat CPU  0 instructions:   62000001 cycles:   73636742 heartbeat IPC: 0.96758 cumulative IPC: 0.82633 (Simulation time: 0 hr 13 min 14 sec) 
Heartbeat CPU  0 instructions:   63000000 cycles:   74666406 heartbeat IPC: 0.97119 cumulative IPC: 0.82836 (Simulation time: 0 hr 13 min 29 sec) 
Heartbeat CPU  0 instructions:   64000000 cycles:   75695426 heartbeat IPC: 0.97180 cumulative IPC: 0.83033 (Simulation time: 0 hr 13 min 43 sec) 
Heartbeat CPU  0 instructions:   65000003 cycles:   76677415 heartbeat IPC: 1.01834 cumulative IPC: 0.83277 (Simulation time: 0 hr 13 min 55 sec) 
Heartbeat CPU  0 instructions:   66000000 cycles:   78126607 heartbeat IPC: 0.69004 cumulative IPC: 0.83009 (Simulation time: 0 hr 14 min 10 sec) 
Heartbeat CPU  0 instructions:   67000001 cycles:   79380238 heartbeat IPC: 0.79768 cumulative IPC: 0.82957 (Simulation time: 0 hr 14 min 27 sec) 
Heartbeat CPU  0 instructions:   68000000 cycles:   80608239 heartbeat IPC: 0.81433 cumulative IPC: 0.82934 (Simulation time: 0 hr 14 min 43 sec) 
Heartbeat CPU  0 instructions:   69000001 cycles:   81846740 heartbeat IPC: 0.80743 cumulative IPC: 0.82900 (Simulation time: 0 hr 14 min 58 sec) 
Heartbeat CPU  0 instructions:   70000001 cycles:   83093717 heartbeat IPC: 0.80194 cumulative IPC: 0.82859 (Simulation time: 0 hr 15 min 12 sec) 
Heartbeat CPU  0 instructions:   71000003 cycles:   84315465 heartbeat IPC: 0.81850 cumulative IPC: 0.82844 (Simulation time: 0 hr 15 min 27 sec) 
Heartbeat CPU  0 instructions:   72000000 cycles:   85544324 heartbeat IPC: 0.81376 cumulative IPC: 0.82823 (Simulation time: 0 hr 15 min 43 sec) 
Heartbeat CPU  0 instructions:   73000001 cycles:   86782732 heartbeat IPC: 0.80749 cumulative IPC: 0.82793 (Simulation time: 0 hr 16 min 2 sec) 
Heartbeat CPU  0 instructions:   74000001 cycles:   88052550 heartbeat IPC: 0.78751 cumulative IPC: 0.82734 (Simulation time: 0 hr 16 min 18 sec) 
Heartbeat CPU  0 instructions:   75000001 cycles:   89309357 heartbeat IPC: 0.79567 cumulative IPC: 0.82689 (Simulation time: 0 hr 16 min 34 sec) 
Heartbeat CPU  0 instructions:   76000000 cycles:   90544252 heartbeat IPC: 0.80978 cumulative IPC: 0.82665 (Simulation time: 0 hr 16 min 51 sec) 
Caught signal: 2
